address,content_count,in,out,peers_connected,peers_good,peers_total,time
13nELCDhPs8rT4EqF1HRGvfPPRCGELKRqD,11,3592952,0,0,0,0,1457961182.31
1ZeroeuDnL2jNS6t1epQa1SPvC91KG8ER,107,1477211,3433,0,0,0,1457961182.31
1KFARPHaH3JoXeUcjwMx3vFM5q7i1zQGav,1,20091,0,0,0,0,1457961182.31
13RhXecmBH34X44Nohf2qMogZKH7KzoG78,6,405843,0,0,0,0,1457961182.31
1DXDDPLAvZNrEg4wzsX8CJqAzZvQ9G1Rvj,4,379966,0,0,0,0,1457961182.31
1TaLk3zM7ZRskJvrh3ZNCDVGXvkJusPKQ,329,234616,0,0,0,0,1457961182.31
1DZpN7BRvJ4x6XrkJjQfGv1LRShsWci6Pc,6,429428,0,0,0,0,1457961182.31
1FMeSorqAS8Kq5E5XJpGGBJ8Qb2CxXhaYb,10,375225,898661,0,0,0,1457961182.31
1BCXs4U5Vjh5pE53iZ81zKVNfQRro8ZNdT,1,1133208,0,0,0,0,1457961182.31
1NpCZF573u5vW6iUy7xQzFsv7zCYJysfiK,1,5565,0,0,0,0,1457961182.31
1Apr5ba6u9Nz6eFASmFrefGvyBKkM76QgE,86,22923858,105353725,0,0,0,1457961182.31
1KdF3z61jUqqcfLnufJJs8MbuHwfQwjS89,5,416191,0,0,0,0,1457961182.31
16rELcbeZ7GY7X8teezU2EVSdpQpc7WPjF,1,707187,0,0,0,0,1457961182.31
1CpGZyfbUBBV5uXUoY653wVoqZFRojbEzd,16,456639,0,0,0,0,1457961182.31
1HzKesHsWG3N96CfW9eC2aL9VKY7EDm2Zj,11,8400398,123532,0,0,0,1457961182.31
186THqMWuptrZxq1rxzpguAivK3Bs6z84o,662,3266802,1210082,0,0,0,1457961182.31
17VFQ2Tnoa6oX94LnvDAYm7BkaMa2GxaDN,1,98170,0,0,0,0,1457961182.31
1HR2mJHeC1vs3XTTcX2X6BDcdRZZDNXZKV,20,1569769,536204,0,0,0,1457961182.31
1CGn7MNajfkAeN11bjKVG9vmDGqA8qv74S,1,32400,0,0,0,0,1457961182.31
1AHd759ohsgzr4NZC7cpSu1UuxjYukhx1m,1,2451252,0,0,0,0,1457961182.31
1Ae4HEA5meVoUtVsYnS4jLP6D4Q9D6Gez1,1,9092,0,0,0,0,1457961182.31
12WY4MGfJDjuBjj692q9x4TH8S5fsfaMtm,1,23333,0,0,0,0,1457961182.31
1N9mhMhyXo4nfzuVRnWQiF328ZR4AmGEVt,2,1461362,0,0,0,0,1457961182.31
16awv1xD5Hpxc4Q3f9tsSZ9MF6sSSdqF7p,12,453147,0,0,0,0,1457961182.31
1Kp5xdjQyrPth5mEJsn6NDBKZxcaeYz86N,36,2403352,16132,0,0,0,1457961182.31
1KzDGFWuVgniDVaKBdS1cY91FZBQeKbZMn,87,366169,0,0,0,0,1457961182.31
address,content_count,in,out,peers_connected,peers_good,peers_total,time
1MNb8vJAyyYEhmn5Lo962DttpGE7NYp4Yp,7,5922569,91,0,0,0,1457961242.39
165eqHdoQfyf7CVGqtVCGNDvMBZhwVSJBL,49,1832181,15153,0,0,0,1457961242.39
1Gfey7wVXXg1rxk751TBTxLJwhddDNfcdp,1,164546883,137858190,0,0,0,1457961242.39
18LCHTNzfWRSuABmpTd2rqZG71LLcXhgHE,1,2415,979,0,0,0,1457961242.39
16LWwkDHxYzxT1XsQm3sxjG43BqzovVAJT,2,360846,0,0,0,0,1457961242.39
1Q7dKG1kLuGfUwKdwbVfC7sKo7hEF5nbEr,4,4525210,0,0,0,0,1457961242.39
1Gif7PqWTzVWDQ42Mo7np3zXmGAo3DXc7h,465,59474273,17745133,0,0,0,1457961242.39
13dFL5m6hf9e82JrBUWiTBdTtbdoHJEUM4,1,36506,0,0,0,0,1457961242.39
1K5CGPwisBNFoWRThY9ZLfeJVqN757aLke,1,120777,0,0,0,0,1457961242.39
1LtvsjbtQ2tY7SCtCZzC4KhErqEK3bXD4n,50,2646053,10447,0,0,0,1457961242.39
13rV6Z9HjvFMjioh7qUVWsaNzHDeAU3sb5,3,582344,0,0,0,0,1457961242.39
1Vp5LH4wegCaqeB72yMw2jgNdVm4aR7ET,69,2081994,10416,0,0,0,1457961242.39
1HAFn2Rg9VPtyzq7dixenHD9sekiX9Pzv3,2,3902611,0,0,0,0,1457961242.39
1K28kQFMquNzto2iQf4GGjr6oFUbC1NddE,118,5200737,1031739,0,0,0,1457961242.39
17T9yUUqAkboMP2hjwSafrHkuMgApuXAmR,3,1441384,0,0,0,0,1457961242.39
1TaLkFrMwvbNsooF4ioKAY9EuxTBTjipT,1464,26638677,10581613,0,0,0,1457961242.39
163ZAwi5BcGBm6UEwdJF1pkcejDMCT1kAj,1,29598939,0,0,0,0,1457961242.39
148or6yKMeNV4qdmKyCtpaNiFAeU1cccCw,1,985718,284758,0,0,0,1457961242.39
1MaiL5gfBM1cyb4a8e3iiL8L5gXmoAJu27,3281,234636098,261223025,0,0,0,1457961242.39
1PwzQR48SRYjQ5a2LAehD5QQaKnPHiQxi8,3,2448232,5356,0,0,0,1457961242.39
1Cec5T5m7woi3xdEWHZ9eV66j6BEmrE5xx,1,0,0,0,0,0,1457961242.39
18JPEXtjZ4fxQ4BgCwCigVfTAk2opAnoD8,4,428005,546,0,0,0,1457961242.39
14y3fN1A214HYdKe5f6WnQdfT3PdKLSAJo,1,37173,0,0,0,0,1457961242.39
16Px6Jf5u2wsrrhe1opM1VwZFWqrnB9fwN,8,39218665,0,0,0,0,1457961242.39
1Name2NXVi1RDPDgf5617UoW7xA6YrhM9F,1,1459221,119659,5,5,84,1457961242.39
1F6u3BdECcupyy7mraLGsko56XUCS38DBr,1,61479,32768,0,0,0,1457961242.39
17Kom2G5qNDc6NaQwv445h1gFzxkY3ZtZe,1,2215035,0,0,0,0,1457961242.39
1EUGheuNTLTg5SBi2Dao2TkKURkwQBCSgd,6,340821,136112,0,0,0,1457961242.39
1Mr5rX9TauvaGReB4RjCaE6D37FJQaY5Ba,1,446790,0,0,0,0,1457961242.39
1ErLDXv36Kd2CQvkr3ZMsnRcLg8ixnUxq4,1,5036770,0,0,0,0,1457961242.39
1BrodevWLcCZNwcdQK9v2FknSBUhK281oT,1,19132398,1974,0,0,0,1457961242.39
1C2JhCunGLtvyX56nQ88tcb87WnXspjWN,55,109531479,1261219,0,0,0,1457961242.39
1FhhawHHvgLg5LS1w3w7DxT8KJSPihG9Cv,1,65977,0,0,0,0,1457961242.39
1BLogC9LN4oPDcruNz3qo1ysa133E9AGg8,174,3969323,3906,0,0,0,1457961242.39
1CiAFnnf6kb2G1GzDV1FhttTWNxCa4mShn,23,3430665,2708277,0,0,0,1457961242.39
13NS3rSzCTpAYtH997rphfZDaWRypyjwnU,1,3072275,20480,0,0,0,1457961242.39
1NpNCPyBpZaGe9BdhuVAkwqVZXg8Hy7VB,24,17180198,40525,0,0,0,1457961242.39
14weBe8CQHen9U1LG4gE2bxg76QMCGsQoS,16,3782529,0,0,0,0,1457961242.39
192dZ1EG5tU7PnCfuwGMDEBrr2eLqvs4t3,105,229346073,70919387,0,0,0,1457961242.39
13x71nc7fju6afMqpEPfcu3Gx9Z5hNhH48,14,13601223,0,0,0,0,1457961242.39
1LC3ryygCrv94ZK4Nk8ELW6vE1hKwopE8T,1,295744,0,0,0,0,1457961242.39
1B3MjcF3y7UiSMgevjnso5JVNFMz2ci2ME,1,0,0,0,0,0,1457961242.39
12mZD7GPDjmeBYcLtMTP1v6Lic4kzetmL5,1,3547,0,0,0,0,1457961242.39
1iD5ZQJMNXu43w1qLB8sfdHVKppVMduGz,1,70452784,65221720,0,0,0,1457961242.39
17wNH5uEUyWhGT8rDrABdJrJ4udGLtC9oJ,1,8810,0,0,0,0,1457961242.39
138R53t3ZW7KDfSfxVpWUsMXgwUnsDNXLP,1,355017,0,10,10,11,1457961242.39
